student_id,name,department,semester,fingerprint_id
STU-001,Student_1,CSE,1,1
STU-002,Student_2,EEE,4,2
STU-003,Student_3,CSE,3,3
STU-004,Student_4,CSE,2,4
STU-005,Student_5,CSE,7,5
STU-006,Student_6,CSE,1,6
STU-007,Student_7,CSE,4,7
STU-008,Student_8,CSE,1,8
STU-009,Student_9,CSE,4,9
STU-010,Student_10,CSE,7,10
STU-011,Student_11,CSE,8,11
STU-012,Student_12,CSE,5,12
STU-013,Student_13,CSE,3,13
STU-014,Student_14,BBA,6,14
STU-015,Student_15,EEE,3,15
STU-016,Student_16,CSE,6,16
STU-017,Student_17,CSE,2,17
STU-018,Student_18,BBA,2,18
STU-019,Student_19,EEE,6,19
STU-020,Student_20,CSE,5,20
STU-021,Student_21,CSE,8,21
STU-022,Student_22,CSE,2,22
STU-023,Student_23,BBA,2,23
STU-024,Student_24,CSE,5,24
STU-025,Student_25,CSE,6,25
STU-026,Student_26,CSE,4,26
STU-027,Student_27,CSE,1,27
STU-028,Student_28,CSE,5,28
STU-029,Student_29,CSE,4,29
STU-030,Student_30,CSE,7,30
STU-031,Student_31,EEE,8,31
STU-032,Student_32,EEE,3,32
STU-033,Student_33,EEE,6,33
STU-034,Student_34,CSE,5,34
STU-035,Student_35,CSE,3,35
STU-036,Student_36,CSE,4,36
STU-037,Student_37,CSE,8,37
STU-038,Student_38,BBA,5,38
STU-039,Student_39,CSE,4,39
STU-040,Student_40,EEE,1,40
STU-041,Student_41,CSE,1,41
STU-042,Student_42,EEE,7,42
STU-043,Student_43,EEE,2,43
STU-044,Student_44,CSE,6,44
STU-045,Student_45,CSE,8,45
STU-046,Student_46,BBA,8,46
STU-047,Student_47,CSE,5,47
STU-048,Student_48,CSE,4,48
STU-049,Student_49,CSE,5,49
STU-050,Student_50,CSE,7,50
